检查项目 | 英文名 | 别名 | 分类 

白细胞数 | White Blood Cell count | WBC | 临床血液检查
脯氨酸 | Glyeine |   | 血液生化检查
羟脯氨酸 | Glyeine | Hyp | 血液生化检查
赖氨酸 | Lysine | Lys | 血液生化检查
谷氨酰胺 | Lysine |   | 血液生化检查
谷氨酸 | Lysine |   | 血液生化检查
色氨酸 | Tryptophan | Try | 血液生化检查
色氨酸耐量试验 | Tryptophan |   | 血液生化检查
胱氨酸 | Cystine | Cys | 血液生化检查
血浆酮体 | Cystine | KET | 血液生化检查
球形红细胞 | herocyte |   | 临床血液检查
血清苯丙氨酸 | Phemylalanine | Phe | 血液生化检查
血清酪氨酸 | Tyrosine | Tgr | 血液生化检查
血清支链氨基酸/芳香族氨基酸比值 | Tyrosine | BCAA/AAA | 血液生化检查
环磷酸鸟苷 | Cyclic Guanosinc Monophosphate | cGMP | 血液生化检查
血清谷丙转氨酶 | Alanine Aminotransferase | 丙氨酸氨基转移酶-ALT；SGPT | 血液生化检查
血清丙氨酸氨基转移同工酶 | Alanine Aminotransferase | iso-ALT | 血液生化检查
血清谷草转氨酶 | Aspartate Aminotransferase | 门冬氨基酸酸氨基转移酶；SGOT | 血液生化检查
血清谷草转氨酶与血清谷-丙转氨酶比值 | Aspartate Aminotransferase | SGOT/SGPT | 血液生化检查
血清天冬氨酶氨基转移酶同工酶 | Aspatratate Aminotransferase | iso-AST | 血液生化检查
血清γ-谷氨酰转肽酶 | γ-glutamyl transptidase | γ-GTP；GGT | 血液生化检查
先令氏指数 | γ-glutamyl transptidase |   | 临床血液检查
椭圆形红细胞 | elliptocyte |   | 临床血液检查
血清γ-谷氨酰转肽酶同工酶 | γ-GGT Isoenzyme | iso-γ-GTP | 血液生化检查
血清乳酸脱氢酶 | Lactic Dehydrogenase | LDH | 血液生化检查
乳酸脱氢酶同工酶 | Isoenzyme inserum | iso-LDL | 血液生化检查
血清碱性磷酸酶 | alkaline phosphatase | AKP；AUP；ALP | 血液生化检查
血清碱性磷酸酶同工酶 | ALP isoenzyme | iso-AKP | 血液生化检查
血清酸性磷酸酶 | acid phosphatase | ACP | 血液生化检查
血清酸性磷酸酶同工酶 | acid phosphatase | iso-ACP | 血液生化检查
淀粉酶 | amylase | AMY；AMS | 血液生化检查
淀粉酶同工酶 | amylase | iso-AMY；iso-AMS | 血液生化检查
5＇-核苷酸酶 | 5＇-mucletidase | 5＇-NT | 血液生化检查
镰形红细胞 | ickle cell |   | 临床血液检查
5＇-核苷酸磷酸二酯酶同工酶 | ickle cell | 5＇-NPD；5＇-NPDV | 血液生化检查
巨淀粉酶 | ickle cell | MAMS | 血液生化检查
血清脂肪酶 | lopase | LPS | 血液生化检查
胆碱酯酶 | Choline esterase | ChE | 血液生化检查
DNA多聚酶 | Choline esterase | HBV-DNA-P | 血液生化检查
异柠檬酸脱氢酶 | Isocitrate Dehydrogenase | 异枸橼酸脱氢酶；ICD | 血液生化检查
单胺氧化酶 | Monoamine Oxidase | MAO | 血液生化检查
血清单胺氧化酶同工酶 | Monoamine Oxidase | iso-MAO | 血液生化检查
血清肌酸激酶 | Creatine Kinase | 血清肌酸磷酸激酶CK；CPK | 血液生化检查
靶形红细胞 | target cell |   | 临床血液检查
血清肌酸激酶同工酶 | target cell | CK-MB；iso-CK | 血液生化检查
血清醛缩酶 | alolase | ALD；ALS | 血液生化检查
血清醛缩酶同工酶 | alolase | iso-ALD | 血液生化检查
α-羟丁酸脱氢酶 | alphahydroxyric dehydrogenase | α-HBDH | 血液生化检查
血清鸟嘌呤酶 | Guanase | 鸟嘌呤脱氢酶；GD；GDA | 血液生化检查
血清腺苷脱氨酶 | Adenosine Deaminase | ADA | 血液生化检查
亮氨酸氨基肽酶 | Levcine Aminopeptidase | LAP | 血液生化检查
血清山梨醇脱氢酶 | Sorbitol Dehydrogenase | SDH | 血液生化检查
血清磷酸已糖异构酶 | Phosphate Isomerase | PHI | 血液生化检查
谷氨酸脱氢酶 | Glutamate Dehydrogenase | GLDH；GDH | 血液生化检查
口形红细胞 | tomatocyte |   | 临床血液检查
血清精氨酸酶 | tomatocyte | ARG | 血液生化检查
胰蛋白酶 | Trypsin | Try | 血液生化检查
血清糜蛋白酶 | Trypsin |   | 血液生化检查
α1-抗胰蛋白酶 | α1-antitrypsin | α1-AT | 血液生化检查
胰凝乳蛋白酶 | chymotrypsin |   | 血液生化检查
丙氨酸氨基肽酶 | Alanine Aminopeptidase | AAP | 血液生化检查
胃蛋白酶 | epsin | PP | 血液生化检查
血管紧张素转化酶 | Angiotenisin Converting Enzyme | 激肽酶Ⅱ或肽基-羟基肽酶；ACE | 血液生化检查
葡萄糖-6-磷酸脱氢酶 | Glucose-6-Phosphate Dehydro-genase | G-6-PDH | 血液生化检查
溶菌酶 | Lysozyme | LEM | 血液生化检查
泪滴状红细胞 | Lysozyme |   | 临床血液检查
血清鸟氨酸氨基甲酰转移酶 | Ornithine carbamoyltransferase | OCT | 血液生化检查
纤溶酶 | Plasmin | PL | 血液生化检查
精氨酰琥珀酸裂解酶 | Arginosuccinate Lyase | ASAL | 血液生化检查
血清丙酮酸激酶 | Pyruvate Kinase | PK | 血液生化检查
前列腺酸性磷酸酶 | Prostatic acid phosphatase | PAP | 血液生化检查
磷酸甘油酸激酶 | Phosphoglycerate Kinase | PGK | 血液生化检查
磷酸甘油转化酶 | Monphosphglyceromutase | MPGM | 血液生化检查
血清脯氨酸羟化酶 | mlyl-4-hygroxylase | 脯氨酸-4-羟化酶；PH | 血液生化检查
血清谷胱甘肽过氧化物酶 | Glutathione Peroxidase | GPO；GSH-Px | 血液生化检查
脯氨酸肽酶 | Glutathione Peroxidase | PLD | 血液生化检查
棘形红细胞 | acanthocyte |   | 临床血液检查
超氧化物岐化酶 | Superoxide dismutase | SOD | 血液生化检查
脂蛋白脂肪酶 | Lipoprotein Lipase | LPL | 血液生化检查
血清卵磷脂-胆固醇酰基转移酶 | Lecithin-cholesterol Acyl Transferase | LCAT | 血液生化检查
链激酶-链道酶试验 | Lecithin-cholesterol Acyl Transferase | SK-SD | 血液生化检查
β-N-乙酰氨基葡萄糖苷酶 | Lecithin-cholesterol Acyl Transferase | NAG | 血液生化检查
血清磷脂酶A2 | Lecithin-cholesterol Acyl Transferase | PLA2 | 血液生化检查
α-葡萄糖苷酶 | α-Glucosidase |   | 血液生化检查
β-半乳糖苷酶 | β-Galactosidase | GAL | 血液生化检查
β葡萄糖醛酸苷酶 | β-Glucuronidase |   | 血液生化检查
血清α-L-岩藻糖苷酶 | α-L-fucosidase | α-FU | 血液生化检查
皱缩红细胞 | α-L-fucosidase |   | 临床血液检查
α-D-半乳糖-1-磷酸转尿苷酰酶 | α-D-Galactose-1-phos-phate uridy 1 transferase | UDPG-1-P | 血液生化检查
已糖胺全酶 | α-D-Galactose-1-phos-phate uridy 1 transferase |   | 血液生化检查
甘氨酰脯氨酸二肽氨基肽酶 | Glycyl-proline-dipeptidyl aminopeptidase | GPDA | 血液生化检查
红细胞还原型谷胱甘肽(GSH)及稳定试验 | Glutathione Stability Test | GSH | 血液生化检查
红细胞谷胱甘肽还原酶 | Glutathine Peductase | GSSGR | 血液生化检查
谷胱甘肽S转移酶 | glutathione s-transferase | GST | 血液生化检查
红细胞谷胱甘肽合成酶 | glutathione s-transferase |   | 血液生化检查
红细胞腺苷酸激酶 | Adenylate Kinase in erythrocyte | ADK | 血液生化检查
红细胞醛缩酶 | Adenylate Kinase in erythrocyte | ALD | 血液生化检查
红细胞二磷酸甘油转移酶 | Bisphosphoglyceromutase | BPGM | 血液生化检查
碎裂红细胞 | chistocyte | 裂片细胞 | 临床血液检查
红细胞乳酸脱氢酶 | Laete Dehydrogenase | LDH | 血液生化检查
红细胞δ-氨基-γ-酮戊酸脱水酶 | δ-Aminolevulinate Dehydratase | ALA | 血液生化检查
红细胞溶血卵磷脂酰基转移酶 | Lysolecithin Acyl Transferase | LAT | 血液生化检查
红细胞烯醇化酶 | Enolase | EC | 血液生化检查
红细胞乳酸生成率 | Enolase |   | 血液生化检查
红细胞己糖激酶 | Hexokinase | HK | 血液生化检查
红细胞磷丙糖异构酶 | Triose Phosphate Isomerase | TPI | 血液生化检查
缗钱状红细胞 | Triose Phosphate Isomerase |   | 临床血液检查
红细胞葡萄糖磷酸异构酶 | Glucose Phosphate Isomerase | 红细胞磷酸已糖异构酶；GPI | 血液生化检查
红细胞磷酸果糖激酶 | Phosphofructokinase | PFK | 血液生化检查
红细胞丙酮酸激酶 | Pyruvate Kinase | PK | 血液生化检查
苹果酸脱氢酶 | Malate Dehydrogenase | MDH | 血液生化检查
红细胞5＇-嘧啶核苷酸酶 | Pyrimidine-5＇-Nucleotiase | 5＇-NT | 血液生化检查
红细胞磷酸甘油转化酶 | Monophosphoglyceromutase | MPGM | 血液生化检查
红细胞磷酸甘油酸激酶 | Phosphoglycerate Kinase | PGK | 血液生化检查
红细胞磷酸甘油醛脱氢酶 | Glyceraldehyde phosphate De-hydrogenase | GAPD | 血液生化检查
红细胞乙酰胆碱脂酶 | Glyceraldehyde phosphate De-hydrogenase | CHE | 血液生化检查
红细胞血清总胆红素 | Total Bilirubin | TBIL | 血液生化检查
多染性红细胞 | Total Bilirubin | 嗜多色性红细胞；多染色性 | 临床血液检查
直接胆红素 | Direct Bilirubin | DBIL | 血液生化检查
间接胆红素 | Indirect Bilirubin | IBIL | 血液生化检查
1分钟胆红素 | Indirect Bilirubin |   | 血液生化检查
直接胆红素与总胆红素比值 | Indirect Bilirubin | D/T；OIBL/TBIL | 血液生化检查
直接胆红素/间接胆红素比值 | Indirect Bilirubin | DBIL/IBIL | 血液生化检查
δ-胆红素 | Indirect Bilirubin | δ-BIL | 血液生化检查
靛青绿(吲哚，氰蓝绿)试验 | indoeyaninegreen | ICG | 血液生化检查
刚果红试验 | indoeyaninegreen | CgRT | 血液生化检查
维生素A | Vitamin Adeficiency | VA | 血液生化检查
嗜中性杆状粒细胞数 | Vitamin Adeficiency | BN | 临床血液检查
红细胞染色质小体 | Howell-Jollys Bodies | 豪-周氏小体；豪氏小体 | 临床血液检查
维生素A耐量试验 | Howell-Jollys Bodies |   | 血液生化检查
β-胡萝卜素 | Howell-Jollys Bodies | β-Car | 血液生化检查
维生素B1 | Vitamin B1 | VB1 | 血液生化检查
维生素B2 | vitamin B2 | VB2 | 血液生化检查
维生素B3 | vitamin B2 | 泛酸；VB3 | 血液生化检查
维生素B6 | vitamin B2 | VB6 | 血液生化检查
维生素B12 | Cyanocobalamin | VB12 | 血液生化检查
叶酸 | determination offolic acid | FA | 血液生化检查
维生素C | vitamin C | VC | 血液生化检查
维生素D | vitamin D | VD | 血液生化检查
红细胞环状体 | vitamin D | 卡波环；cabot ring | 临床血液检查
维生素E | vitamin E | VE | 血液生化检查
烟酸 | vitamin E | 尼克酸；维生素PP | 血液生化检查
维生素K | Vitamin K | VK | 血液生化检查
酸碱度(pH)值测定 | Value PH | PH值 | 血液生化检查
二氧化碳结合力 | Carbon Dioxide Combining Power | CO2CP | 血液生化检查
二氧化碳分压 | Partial Pressure of Caron Dioxide | PCO2 | 血液生化检查
氧分压 | Partial Pressure Of Oxygen | PO2；PaO2 | 血液生化检查
血氧含量 | oxygen content | O2CT | 血液生化检查
血氧饱和度 | Oxygen Saturaton | SATO2；SaO2 | 血液生化检查
二氧化碳总量 | Carbon Dioxde Toal Amoun | T-CO2 | 血液生化检查
有核红细胞 | mucleated eryhrocyte | 幼稚红细胞 | 临床血液检查
标准碳酸氢盐 | Standard Bicarbonate | SB；ST | 血液生化检查
实际碳酸氢盐 | Actual Bicarbonate Radical | ABR；HCO3 | 血液生化检查
缓冲液 | Buffer Base | BB | 血液生化检查
剩余碱 | Blood Base Excess | 碱缺失BD；BE | 血液生化检查
肺泡气-动脉血氧分压差 | Difference of alveoli-arterial Oxygen Pressure | A-aDO2 | 血液生化检查
半饱和氧分压 | Difference of alveoli-arterial Oxygen Pressure | P50O2 | 血液生化检查
阴离子间隙 | Anion Gap | AG | 血液生化检查
一氧化碳 | Anion Gap | CO | 血液生化检查
血清免疫球蛋白G | Anion Gap | IgG | 免疫学检查
血红蛋白 | Assay of Hemoglobin | HGB | 临床血液检查
血清免疫球蛋白A | Assay of Hemoglobin | IgA | 免疫学检查
血清免疫球蛋白M | Assay of Hemoglobin | IgM | 免疫学检查
血清免疫球蛋白E | Assay of Hemoglobin | IgE | 免疫学检查
血清免疫球蛋白D | Assay of Hemoglobin | IgD | 免疫学检查
血清免疫蛋白电泳 | Assay of Hemoglobin |   | 免疫学检查
血清免疫球蛋白G亚类 | Assay of Hemoglobin |   | 免疫学检查
单克隆丙种球蛋白 | Assay of Hemoglobin | M蛋白；MGG | 免疫学检查
类风湿因子 | rheumatoid factor | RF | 免疫学检查
抗核抗体(ANA)或抗核因子(ANF) | rheumatoid factor |   | 免疫学检查
抗血小板抗体 | antithrombocytic antibody | ATA | 免疫学检查
血红蛋白电泳 | Hemoglobin Electrophoresis |   | 临床血液检查
抗中性粒细胞胞浆 | anti-neutrophil cytoplasmic antibodies | ANCA | 免疫学检查
抗红细胞抗体 | antierythrocytic antibody |   | 免疫学检查
抗线粒体抗体 | ante-mitochondrialantibodies | AMA | 免疫学检查
抗脱氧核糖核酸(DNA)抗体 | ante-mitochondrialantibodies | dsDNA | 免疫学检查
狼疮细胞试验 | Lupus Erythematosus Cell | LEC | 免疫学检查
抗平滑肌抗体 | Anti-smooth Muscle Antibody | ASMA；AMAb | 免疫学检查
抗胃壁细胞抗体 | Parietal cellantibody PCA | ACPA；PCA | 免疫学检查
抗骨骼肌抗体 | antiskeletalmuscle antibody，抗SMA | 抗SMA | 免疫学检查
抗甲状腺抗体 | antiskeletalmuscle antibody，抗SMA |   | 免疫学检查
抗肾上腺皮质抗体 | anti-adrenal cortex antibody | ACA | 免疫学检查
红细胞平均血红蛋白量 | Mean Corpuscular Hemoglobin | MCH | 临床血液检查
抗甲状腺球蛋白抗体 | anti-thyroglobulin antibodies | ATG | 免疫学检查
抗甲状腺过氧化物酶抗体 | anti-thyroglobulin antibodies | ATPO；TPOAb | 免疫学检查
抗核仁核糖核酸(RNA)抗体 | anti-thyroglobulin antibodies |   | 免疫学检查
抗网蛋白抗体 | anti-thyroglobulin antibodies |   | 免疫学检查
抗浸出性核抗原(ENA)抗体 | anti-thyroglobulin antibodies | 抗-ENA抗体 | 免疫学检查
抗隐球菌抗体 | anti-thyroglobulin antibodies |   | 免疫学检查
抗双链DNA抗体 | anti-double-stranded DNA | anti-dsDNA | 免疫学检查
抗单链DNA(ssDNA)抗体 | anti-single-stranded ordenafured | 抗-DNA；ss-DNA | 免疫学检查
抗Sm抗体 | anti-smith antigen；anti-sm | 抗-Sm | 免疫学检查
抗U1RNP抗体 | anti-smith antigen；anti-sm | anti-U1 RNA | 免疫学检查
红细胞平均血红蛋白浓度 | Mean Corpuscular Hemoglobin Concentration | MCHC | 临床血液检查
抗胰岛素抗体 | anti-insulin antibody | AIAb | 免疫学检查
抗胰岛素受体抗体 | anti-insulin receptorantibody | IRA；AIRA | 免疫学检查
抗内因子抗体 | anti-insulin receptorantibody | IFA | 免疫学检查
抗胰岛细胞抗体 | anti-islet cell antibody | ICA | 免疫学检查
抗内皮细胞抗体 | anti-islet cell antibody | AECA | 免疫学检查
抗组蛋白抗体 | anti-histone | AHA | 免疫学检查
抗角蛋白抗体 | anti-histone | AKA | 免疫学检查
抗肌球蛋白抗体 | anticardiac myosin antibody | ACMA | 免疫学检查
抗心肌细胞膜抗体 | antimyolemmal antibodies | AMLA | 免疫学检查
抗热休克蛋白-60抗体 | antimyolemmal antibodies | HSP-60 | 免疫学检查
血红蛋白抗碱试验 | antimyolemmal antibodies |   | 临床血液检查
抗Jo-1抗体 | antimyolemmal antibodies | 抗-Jo-1 | 免疫学检查
前S抗体 | antimyolemmal antibodies |   | 免疫学检查
抗类风湿性关节炎33抗体 | antimyolemmal antibodies | 抗-RA33 | 免疫学检查
抗RNP抗体 | antimyolemmal antibodies | 抗-RNP | 免疫学检查
抗Scl-70抗体 | antimyolemmal antibodies | 抗-Scl-70 | 免疫学检查
抗磷脂抗体 | antiphospholipid antibodies | APA；APL-Ab | 免疫学检查
抗甲状腺过氧化物酶自身抗体 | antiphospholipid antibodies | 抗-TPO | 免疫学检查
促甲状腺激素受体抗体 | antiphospholipid antibodies | TRAb | 免疫学检查
T3T4抗体 | antiphospholipid antibodies |   | 免疫学检查
抗甲状腺微粒体抗体 | Anti-Thyriod Microsome Antibody | ATM；ATMA | 免疫学检查
血红蛋白F细胞酸洗脱染色试验 | Anti-Thyriod Microsome Antibody | HbF酸洗脱试验 | 临床血液检查
抗SS-A(Ro)抗体 | Anti-Thyriod Microsome Antibody | 抗-SS-A | 免疫学检查
抗SS-B(La)抗体 | Anti-Thyriod Microsome Antibody | 抗-SS-B | 免疫学检查
抗PM-1抗体 | anti-PM-1 | 抗-PM-1 | 免疫学检查
类风湿相关核抗原(RANA)抗体 | anti-PM-1 | RANA-抗体 | 免疫学检查
抗核仁抗体 | anti-PM-1 |   | 免疫学检查
抗着丝点抗体 | anti-centromere | ACA | 免疫学检查
抗麸质抗体 | anti-centromere | IgA-GA | 免疫学检查
抗肌内膜自身抗体 | anti-centromere | IgA-EmA | 免疫学检查
抗心肌抗体 | anti-myocardialantibodies | AHAB | 免疫学检查
抗心磷脂抗体 | anticardiolipin antibody | ACL | 免疫学检查
血红蛋白F包涵体生成试验 | anticardiolipin antibody |   | 临床血液检查
抗肾小球基底膜抗体 | anti-glomerularbasement membrane antibody | 抗-GBM抗体；AGBM | 免疫学检查
抗肝细胞膜抗原抗体 | anti-liver membrane antigen antibody | ALMA；LMA | 免疫学检查
抗肝细胞膜特异性脂蛋白抗体 | anti-liver specific lipoprotein antibody | ALSP；LSP | 免疫学检查
抗Sa抗体 | anti-Sa | 抗靶抗原抗体 | 免疫学检查
抗Ku抗体 | anti-Sa | 抗核蛋白抗体 | 免疫学检查
抗幽门杆菌IgG抗体 | anti-Sa | 抗-HP-IgG | 免疫学检查
抗流行性乙型脑炎病毒IgM抗体 | anti-Sa | 抗-jBEV-IgM | 免疫学检查
抗组织相容性抗原-DR抗体 | anti-Sa | 抗-HLA-DR | 免疫学检查
可溶性白细胞介素-2受体 | oluble interleukin-2 receptor | SIL-2R | 免疫学检查
抗柯萨奇B病毒IgG抗体 | oluble interleukin-2 receptor | 抗-CBV-IgG | 免疫学检查
嗜中性分叶核粒细胞数 | oluble interleukin-2 receptor | SN | 临床血液检查
血红蛋白C晶体包涵体试验 | oluble interleukin-2 receptor | 血红蛋白C试验 | 临床血液检查
抗巨细胞病毒IgM抗体 | oluble interleukin-2 receptor | 抗-CMV-IgM | 免疫学检查
抗流行性出血热IgM抗体 | oluble interleukin-2 receptor | 肾综合征出血热；抗-HFRSV IgM | 免疫学检查
抗乙酰胆碱受体抗体 | anti-acetylcholine receptorantibody | AchR-Ab | 免疫学检查
烟碱型乙酰胆碱受体抗体 | anti-acetylcholine receptorantibody | AchR-Ab | 免疫学检查
抗骨骼肌柠檬酸提取物抗体 | anti-acetylcholine receptorantibody | CAEab | 免疫学检查
抗淋巴细胞抗体 | anti-acetylcholine receptorantibody | ALA | 免疫学检查
抗精子抗体 | antispermantibody | AsAb | 免疫学检查
抗透明带抗体 | antizona pellucida antibody | AZP | 免疫学检查
抗子宫内膜抗体 | endometrialantibody | EMAb | 免疫学检查
血红蛋白溶解度 | endometrialantibody |   | 临床血液检查
人类轮状病毒抗体 | Rotavirus Antibody | HRV | 免疫学检查
EB病毒壳抗原IgA抗体 | EB virus capsid Antigen IgA | EBVCA-IgA | 免疫学检查
风疹病毒抗体IgG | Rubella Virus Antibody Rubella-IgG |   | 免疫学检查
抗艾滋病(AIDS)抗体 | Rubella Virus Antibody Rubella-IgG |   | 免疫学检查
抗登革病毒IgG抗体 | Rubella Virus Antibody Rubella-IgG | 抗DV-IgG | 免疫学检查
抗链球菌型M蛋白抗体 | Rubella Virus Antibody Rubella-IgG |   | 免疫学检查
抗链球菌壁多糖抗体 | antibody to streptococcal polysaccharide | ASP | 免疫学检查
抗凝血活性试验 | rocoagulant activity | PCA | 免疫学检查
E-玫瑰花环形成试验 | Erythrocyte Rosette Forming Cell | E-RFC | 免疫学检查
EAC玫瑰花结形成试验 | Erythrocyte Rosette Forming Cell | EAC-RFC | 免疫学检查
不稳定血红蛋白 | Erythrocyte Rosette Forming Cell |   | 临床血液检查
淋巴细胞转化率 | Lymphocyte Blastogenesis Test | LTT | 免疫学检查
循环免疫复合物 | circulating immunocomplex | CIC | 免疫学检查
迟发性皮肤变态反应 | circulating immunocomplex | DTH | 免疫学检查
结核菌素皮内试验 | Old tuberculin | OT；PPD | 免疫学检查
双链酶皮内试验 | Old tuberculin | SK-SD | 免疫学检查
二硝基氯苯斑贴试验 | 1-chloro-2，4-dini-trochlorobenzene | DNCB | 免疫学检查
二硝基氟苯皮肤试验 | 1-chloro-2，4-dini-trochlorobenzene | DNFB | 免疫学检查
植物血凝素皮内试验 | hytohemagglutinin | PHA | 免疫学检查
血清补体旁路途径活性 | hytohemagglutinin | AP-CH50 | 免疫学检查
血清C1q | hytohemagglutinin |   | 免疫学检查
高铁血红蛋白还原试验 | hytohemagglutinin |   | 临床血液检查
血清补体C3裂解产物 | hytohemagglutinin | C3SP | 免疫学检查
血清补体C4裂解产物 | hytohemagglutinin | C4SP | 免疫学检查
C3肾炎因子 | hytohemagglutinin | C3Nef | 免疫学检查
B因子 | hytohemagglutinin | BF | 免疫学检查
B因子溶血活性 | hytohemagglutinin |   | 免疫学检查
血清补体溶解免疫复合物活性 | hytohemagglutinin | CRA | 免疫学检查
鼠红细胞花环形成试验 | hytohemagglutinin | MEFT | 免疫学检查
B淋巴细胞表面标志 | hytohemagglutinin | SmIg | 免疫学检查
硝基四唑氮蓝试验 | Nitroblue Tetrazolium Test | NBT | 免疫学检查
自然杀伤细胞活性 | Natural Kill Cell | NK | 免疫学检查
嗜碱性点彩红细胞 | Natural Kill Cell | SRBC | 临床血液检查
抗体依赖性细胞(K细胞)毒性 | Antibody-Dependent Cell-mediated Cytotoxic | ADCC | 免疫学检查
混合淋巴细胞培养试验 | Mixed Lymphocyte Cultivation Test | MLCT | 免疫学检查
HLA定型 | Mixed Lymphocyte Cultivation Test | 人类白细胞抗原 | 免疫学检查
白细胞移动抑制试验 | leucocyte migration inhibitory factor | LIF | 免疫学检查
淋巴细胞毒试验 | Lymphocytotoxicity Test |   | 免疫学检查
中性粒细胞趋化试验 | Neutrophil Leueotactie Test |   | 免疫学检查
中性炎症细胞吞噬试验 | Neutrophil Phagoeytic Test |   | 免疫学检查
中性粒细胞杀菌试验 | Neutrophil Killing Bacterial Test |   | 免疫学检查
T4淋巴细胞亚群 | Neutrophil Killing Bacterial Test | TCS | 免疫学检查
免疫球蛋白轻链 | Bence-Jones Protein | 本周蛋白 | 免疫学检查
T8淋巴细胞亚群 | Bence-Jones Protein |   | 免疫学检查
红细胞沉降率 | Erythrocyte Sedimentation Rata | 血沉 | 临床血液检查
T4/T8比值 | Erythrocyte Sedimentation Rata |   | 免疫学检查
巨噬细胞移动抑制试验 | migration inhibition test | MIT | 免疫学检查
吞噬白色念珠菌功能试验 | migration inhibition test |   | 免疫学检查
吞噬鸡红细胞功能试验 | migration inhibition test |   | 免疫学检查
血清白细胞介素3 | Interleukin-3 | IL-3 | 免疫学检查
血清白细胞介素6 | Interleukin-6 | IL-6 | 免疫学检查
血清白细胞介素8 | Interleukin-8 | IL-8 | 免疫学检查
干扰素 | interferon | IFN | 免疫学检查
γ-干扰素 | interferon | γ-INF | 免疫学检查
血清总补体 | Hemolytic Unit of Complement | CH50 | 免疫学检查
网织红细胞数和网织红细胞百分比 | Hemolytic Unit of Complement |   | 临床血液检查
血清补体C3 | Hemolytic Unit of Complement | C3 | 免疫学检查
血清补体C4 | Hemolytic Unit of Complement | C4 | 免疫学检查
血型鉴定 | Blood Group Determination | ABO血型鉴定 | 血清学检查
交叉配血试验 | Blood Grup Cross Matching Test | ABO血型交叉配合试验 | 血清学检查
肥达氏反应 | Widal Test | WR | 血清学检查
外-斐二氏反应 | Weil-Felix Test | WFR | 血清学检查
寒冷凝集试验 | Cold Agglutination Test | CAT | 血清学检查
布氏杆菌凝集试验 | Cold Agglutination Test | BAT | 血清学检查
虎红平板凝集试验 | Cold Agglutination Test | RBPT | 血清学检查
试管凝集试验 | Wright test |   | 血清学检查
网织红细胞生成指数 | Wright test | 网织红细胞成熟指数；RPI | 临床血液检查
补体结合试验 | Wright test |   | 血清学检查
半胱胺酸试验 | Wright test | CAT | 血清学检查
α-巯基乙醇试验 | Wright test | α-MET | 血清学检查
嗜异性凝集试验 | Heterophile Agglutination Test | HAT | 血清学检查
嗜异性凝集吸收试验 | Heterophile Agglutination Test |   | 血清学检查
钩端螺旋体病凝集溶解试验 | Heterophile Agglutination Test |   | 血清学检查
土拉伦斯杆菌凝集试验 | Heterophile Agglutination Test |   | 血清学检查
立克次体凝集试验 | Heterophile Agglutination Test |   | 血清学检查
孢子丝菌凝集试验 | Heterophile Agglutination Test |   | 血清学检查
红细胞渗透脆性试验 | Erythrocyte Osmotic Fragility Test | ROFT；EOFT | 临床血液检查
肺炎支原体寒冷凝集试验 | Erythrocyte Osmotic Fragility Test |   | 血清学检查
隐球菌病胶乳凝集试验 | Erythrocyte Osmotic Fragility Test | LA | 血清学检查
灭活血清反应素试验 | Erythrocyte Osmotic Fragility Test | USR | 血清学检查
快速血浆反应素环状卡片试验 | Erythrocyte Osmotic Fragility Test | RPRCT | 血清学检查
梅毒螺旋体血凝试验 | Erythrocyte Osmotic Fragility Test | TPHA | 血清学检查
血吸虫环卵沉淀试验 | Erythrocyte Osmotic Fragility Test |   | 血清学检查
血吸虫皮内试验 | Erythrocyte Osmotic Fragility Test |   | 血清学检查
血吸虫间接血凝试验 | Erythrocyte Osmotic Fragility Test |   | 血清学检查
血吸虫酶联免疫吸附试验 | Erythrocyte Osmotic Fragility Test |   | 血清学检查
血吸虫胶乳凝集试验 | Erythrocyte Osmotic Fragility Test |   | 血清学检查
红细胞机械性脆性试验 | Erythrocyte Osmotic Fragility Test |   | 临床血液检查
疟疾间接免疫荧光试验 | Erythrocyte Osmotic Fragility Test |   | 血清学检查
抗溶血性链球菌“O”试验 | Anti-Streptolysin O | ASO | 血清学检查
华(Wassermann)氏补体结合试验 | Anti-Streptolysin O | 梅毒血清补体结合试验 | 血清学检查
抗链球菌激酶试验 | antistreptokinase | ASK | 血清学检查
抗透明质酸酶 | antihyalumnidase | AH | 血清学检查
抗核苷酶试验 | antinicotinamide adenine dinucleotidase | ANAD | 血清学检查
溶血性乙型脑炎补体结合试验 | antinicotinamide adenine dinucleotidase |   | 血清学检查
钩端螺旋体补体结合试验 | antinicotinamide adenine dinucleotidase |   | 血清学检查
包虫病补体结合试验 | antinicotinamide adenine dinucleotidase |   | 血清学检查
囊虫病补体结合试验 | antinicotinamide adenine dinucleotidase |   | 血清学检查
嗜酸性粒细胞数 | antinicotinamide adenine dinucleotidase | EOS | 临床血液检查
热溶血试验 | Heat Lysis Test |   | 临床血液检查
淋巴细胞脉络丛脑膜炎补体结合试验 | Heat Lysis Test |   | 血清学检查
芽生菌补体结合试验 | Heat Lysis Test | CF | 血清学检查
沙眼衣原体 | Heat Lysis Test |   | 血清学检查
沙眼衣原体IgM和IgG | Heat Lysis Test |   | 血清学检查
肺炎支原体补体结合试验 | Heat Lysis Test | CF | 血清学检查
立克次体补体结合试验 | Heat Lysis Test |   | 血清学检查
隐球菌病补体结合试验 | Heat Lysis Test |   | 血清学检查
TORCH检查 | Heat Lysis Test |   | 血清学检查
