中医百科

Asian toddalia root (bark) - 飞龙掌血
six climatic factors - 六气
five zang viscera - 五脏
visceral manifestations - 脏象
zang-fu viscera - 脏腑
seven emotions - 七情
	traditional Chinese medicine - 中医学
Chinese materia medica - 中药学
integration of traditional and western medicine - 中西医结合
traditional Chinese medicine and pharmacology - 中医药学
illness of child viscera affecting the mother one - 子病及母
illness of mother viscera affecting the child one - 母病及子
wood generating fire - 木生火
fire generating earth - 火生土
earth generating metal - 土生金
metal generating water - 金生水
water generating wood - 水生木
mutual restriction of five phases - 五行相克
over-restriction of five phases - 五行相乘
doctrine of five evolutive phases and six climatic factors - 运气学说
five evolutive phases - 五运
vitamins               - 维生素
intangible               - 无形
Inner Court              - 内庭
indiscriminate use              - 概用
inflammatory               - 炎性的
inhibited               - 不利
inhibited               - 不畅
infection               - 传染
infection               - 感染
inferior               - 卑
insomnia               - 不得眠
insomnia               - 不眠
infertility               - 不妊
insomnia               - 不睡
infertility               - 不孕
infertility               - 女性不孕症
insomnia               - 失眠
Infertility               - 绝孕
insomnia               - 无眠
inspect               - 审
inspect               - 察
interlocking               - 错
intermediary               - 间
inhibition               - 不利
inflate               - 膨
indistinct               - 渺
inflation               - 膨胀
indeed               - 审
feel               - 捻
feel               - 摸
female               - 女
female infertility              - 女子绝子
female genitals              - 女性生殖器
female infertility              - 妇人绝子
female               - 牝
femoral artery              - 股动脉
femur               - 大楗骨
femur               - 大腿骨
femur               - 髀骨
fence               - 篱
fennel [fruit]              - 土茴香
fight               - 抗
fight               - 斗
fennel               - 茴
filariasis               - 丝虫病
file               - 剉
file               - 锉
firefly               - 萤
firefly               - 萤火
fetus               - 胎儿
filial piety              - 孝
filiform needle              - 毫针
final stage              - 后期
fear               - 怕
extinguish               - 灭
fear of water             - 恐水
fall               - 下陷
fear               - 惕
extraordinary               - 奇
fall               - 垂
fear               - 畏
fall               - 落
fear of people             - 畏人
fearful               - 忡
fearful               - 怔
eye disease              - 眼疾
fall               - 跌
fearing               - 相畏
eye               - 眼睛
eye symptoms              - 眼科症状
febrile disease              - 热性病
eye patterns              - 眼科证候
febrile disease              - 热病
fallopian tubes              - 输卵管
fecal               - 大便
eyeball               - 目珠
herba Scutellariae barbatae - 半枝莲
Hedyotis diffusa - 白花蛇舌草
pea               - 荷兰豆
pepper               - 古月
pea               - 豌
pear               - 快果
pear               - 果宗
pepper               - 浮椒
pea               - 豌豆
pear               - 梨
pepper               - 玉椒
pea               - 雪豆
pepper               - 胡椒
parallel               - 并
palpitations               - 悸
paralysis               - 摊缓
paralysis               - 痪
paralysis               - 瘫痪
palsy               - 痹
pancreas               - 胰
passage               - 隧
paralysis               - 麻痹
past               - 往
paste               - 糊
paralyzed               - 不遂
patch               - 癜
pancreatic               - 胰的
patchouli               - 广藿香
pancreatitis               - 胰脏炎
patchouli               - 香枝
parrot               - 鹦
pause               - 顿
parsely               - 洋芫荾
pavilion               - 亭
parsely               - 洋香菜
parsely               - 香芹菜
parsnip               - 美国防己
parti-colored               - 驳
package               - 裹
oxygen               - 氧
packet               - 剂
paederia               - 鸡屎藤
paederia               - 鸡矢藤
paederus               - 花蚁虫
palm               - 掌
oyster mushroom              - 平菇
patella               - 膑
patella               - 膝盖
paraplegia               - 截瘫
patella               - 膝膑
pakchoi               - 夏菘
patella               - 膝髌
Chinese chive              - 韭
Chinese quince fruit             - 木梨
chief complaint              - 主诉
Cherokee rose              - 金樱花
chilblain               - 冻疮
childbirth               - 分诞
chestnut               - 板栗
childbirth               - 胎产
Chinese medicinal              - 中药
chestnut               - 栗子
chestnut               - 栗果
Chinese pharmacy              - 中药学
childlessness               - 无子
childlessness               - 绝子
Chinese quince fruit             - 土木瓜
cheek               - 面颊
chew               - 咀
chew               - 咀嚼
chew               - 嚼
chicken pox              - 水疮
chicken               - 鸡
chicken               - 鸡肉
cherry               - 含桃
child               - 儿
Chinese medicine              - 中医
cherry               - 朱果
child               - 子
cherry               - 朱桃
child               - 孩
cherry               - 樱
cherry               - 樱桃
Chinese medicine              - 中医学
cherry               - 樱珠
cherry               - 荆桃
cerebral hemorrhage              - 脑溢血
chicken breast              - 鸡胸
chin               - 下巴壳
chickenpox               - 水痘
chin               - 颔
cerebrospinal fluid              - 脑脊液
cerebrum               - 大脑
cerumen               - 耵
cerumen               - 耵聍
cerumen               - 聍
cervical spondylosis              - 颈椎病
Cervix               - 子宫颈
cervix uteri              - 子宫颈
channel               - 经脉
channel catfish              - 鮠鱼
chaos               - 混
east               - 东
dull pain              - 隐痛
eclipta               - 旱莲草
East Wind              - 东风
dull pain              - 隐隐作痛
dull               - 黯
eclipta               - 莲子草
eclipta               - 鳢肠草
ectopic pregnancy              - 异位妊娠
ear disease              - 耳病
ectropion               - 胞睑外翻
dwarfism               - 侏儒病
dual               - 两
dwell               - 处
dye               - 染
duck               - 鹜
dynamic               - 势
dynasty               - 朝代
dysentery               - 下痢
dysentery               - 痢
dry skin              - 皮肤干燥
dysentery               - 痢疾
dysfunctional uterine bleeding             - 功能性子宫出血
dry eyes              - 目干涩
dry eyes              - 目枯涩
dysmenorrhea               - 痛经
dry eyes              - 目涩
dry eyes              - 眼涩不爽
drink               - 啜
drink               - 喝
drink               - 饮子
downpour               - 下注
drought               - 旱
drown               - 溺
drowning               - 人溺水死
duodenum               - 十二指肠
durian               - 榴莲
dusk               - 昏
drug               - 药物
dry scalp              - 头皮干枯
dust               - 埃
dust               - 尘
early               - 初
early stage              - 初期
early               - 早
drinker               - 酒客
dregs               - 渣
dressing               - 敷剂
drip               - 沥
drumstick               - 槌
medical matters              - 医物
melon               - 银瓜
melon               - 青皮瓜
melon               - 香瓜
melon               - 黄金瓜
medication               - 用药
metabolism               - 新陈代谢
Metacarpophalangeal               - 指掌
millet               - 小米
manipulate               - 操
marten               - 貂
manipulation               - 手法
manipulation               - 操纵
martial               - 武
manna               - 刺糖
manna               - 刺蜜
massage               - 按摩
manna               - 羊刺蜜
massage               - 按蹻
manna               - 阳塔克西克尔
manna               - 骆驼刺糖
mansion               - 府
mastitis               - 乳腺炎
mat               - 席
mat               - 茵
material               - 料
mantis               - 螳
maternal               - 母
mantis               - 螳螂
matting               - 篱
mature               - 陈
dendrobium               - 禁生
dianthus               - 瞿
deliver               - 送
detoxify               - 解毒
dendrobium               - 金钗花
dendrobium               - 黄草
dense               - 密
diaphragm               - 横膈
dense               - 抟
deviated mouth              - 口角歪斜
deviated               - 喎斜
dentin               - 齿质
depart               - 离
depletion               - 亏
deviation               - 喎斜
depletion               - 亏损
depletion               - 亏虚
defecate               - 排便
diarrhea               - 便泄
toe               - 趾
tissue               - 组织
torpor               - 迟钝
tithonia               - 提汤菊
title               - 衔
to               - 于
torreya               - 柀
trace elements              - 微量元素
toad               - 虾
tonsillitis               - 扁桃腺炎
torreya               - 榧
trachea               - 气管
Tonsils               - 扁桃
Tonsils               - 扁桃体
trachoma               - 沙眼
toad               - 蛤
tonsils               - 扁桃腺
tool               - 具
toona               - 椿
toad               - 蟆
togther               - 共
toilette               - 更衣
thyroid gland              - 甲状腺
time               - 时
thyroid               - 靥
tomato               - 洋柿子
tomato               - 番柿
toothache               - 牙痛
tomato               - 西红柿
toothache               - 牙齿痛
toothache               - 齿痛
tin               - 锡
top grade              - 上品
tincture               - 酊
tincture               - 酊剂
tinea capitis              - 头癣
tinea               - 癣
tinea cruris              - 股癣
tinea pedis              - 足癣
YAL               - 阳维
wound               - 创
wound               - 创伤
wrap               - 裹
yellow wine              - 黄酒
yarrow               - 洋蓍草
YAS               - 阳跷
yawn               - 呵
yawn               - 呼欠
yawn               - 失欠
water spinach              - 空筒菜
tooth               - 牙齿
treasury               - 藏
tossing and turning             - 辗转不安
thyme               - 百里香
tooth decay              - 齿龋
tobacco               - 烟草
toe               - 脚趾
tooth decay              - 龋齿
toe               - 趾
tissue               - 组织
torpor               - 迟钝
tithonia               - 提汤菊
title               - 衔
to               - 于
torreya               - 柀
trace elements              - 微量元素
toad               - 虾
tonsillitis               - 扁桃腺炎
torreya               - 榧
trachea               - 气管
Tonsils               - 扁桃
Tonsils               - 扁桃体
trachoma               - 沙眼
toad               - 蛤
tonsils               - 扁桃腺
tool               - 具
toona               - 椿
toad               - 蟆
togther               - 共
toilette               - 更衣
thyroid gland              - 甲状腺
time               - 时
thyroid               - 靥
tomato               - 洋柿子
tomato               - 番柿
toothache               - 牙痛
tomato               - 西红柿
toothache               - 牙齿痛
toothache               - 齿痛
tin               - 锡
top grade              - 上品
tincture               - 酊
tincture               - 酊剂
tinea capitis              - 头癣
tinea               - 癣
tinea cruris              - 股癣
tinea pedis              - 足癣
YAL               - 阳维
wound               - 创
wound               - 创伤
convulsion               - 抽搦
continuous               - 绵绵不休
cordyceps               - 虫草
convulsion               - 搐
correspondence               - 相应
continuous               - 绵绵不已
corridor               - 廊
continuous               - 绵绵不断
convulsion               - 搐搦
core               - 心
continuous               - 绵绵不绝
corrugator               - 皱肌
continuous               - 缘缘
cook               - 炊
coriander               - 胡荽
continuous               - 连绵不休
coriander               - 芫荽
cooked               - 熟
thrombophlebitis               - 血栓性静脉炎
thrombosis               - 血栓
throughout               - 彻
three               - 参
throw               - 丢
throw               - 投
thrush               - 鹅口疮
thud               - 憺
thumb               - 大指
thumb               - 手大指
thumb               - 拇
thumb               - 母指
thump               - 挫
thumping               - 振法
toad               - 蟾
thirst               - 口渴
therefore               - 故
thirst               - 渴
Three Kingdoms              - 三国
this               - 兹
this               - 是
three corpses              - 三尸
thoracic               - 胸
thoracic vertebrae              - 胸椎骨
thoracic cavity              - 胸腔
throat               - 咙
throat               - 咽
throat               - 咽喉
tight               - 秘
tetany               - 发痉
tetany               - 痉病
tend               - 偏
palpebral               - 眼胞
palpitations               - 心悸
overuse               - 过用
opium               - 鸦片
opposite               - 异
overwhelming               - 相乘
overwork               - 劳累过多
opposite and complementary             - 相反相成
owl               - 鸱
owl               - 鸱肉
oppress               - 掯
oppression               - 悗
owl               - 鸱鸺
orostachys               - 瓦松
ox               - 牛
outlying               - 隅
optic nerve              - 眼神经
outstanding               - 尤
outstanding               - 杰
oyster               - 蛎
outstanding               - 豪
origin               - 肌起
over               - 过
outcome               - 转归
Outer Life              - 外命
originally               - 本
coriander seed              - 芫荽仁
coriander seed              - 芫荽子
coriander               - 香荽
coriander               - 香菜
cotton seed              - 棉花子
cormorant               - 鹚
cotton seed              - 草棉花子
corn               - 玉蜀黍
cottonseed oil              - 棉子油
cooked rice              - 饭
cooking               - 烹
cough               - 咳嗽
lepisorus               - 石豇豆
leprosy               - 大风
lentinus               - 香蕈
lightening               - 电
leonurus               - 月母草
leonurus               - 益明
leonurus               - 益母
let (out)              - 放
leonurus               - 益母草
let blood              - 放血
letter               - 信
lettuce               - 千金菜
penis               - 鞭
pennisetum               - 狼尾草
patient               - 患人
patient               - 患者
palate               - 上-
palate               - 上颚
panning               - 淘
paresis               - 轻瘫
patient               - 病家
patrinia               - 败酱
paroxysmal cough              - 咳嗽阵作
patrinia               - 败酱草
pattern               - 证候
pale yellow              - 淡黄
pattern identification              - 辨证
paulownia wood              - 桐木
pea               - 毕豆
pea               - 留豆
pea               - 荷兰豆
pepper               - 古月
pea               - 豌
pear               - 快果
pear               - 果宗
pepper               - 浮椒
pea               - 豌豆
pear               - 梨
pepper               - 玉椒
pea               - 雪豆
pepper               - 胡椒
parallel               - 并
palpitations               - 悸
paralysis               - 摊缓
paralysis               - 痪
paralysis               - 瘫痪
palsy               - 痹
pancreas               - 胰
passage               - 隧
paralysis               - 麻痹
past               - 往
paste               - 糊
paralyzed               - 不遂
patch               - 癜
pancreatic               - 胰的
patchouli               - 广藿香
pancreatitis               - 胰脏炎
patchouli               - 香枝
parrot               - 鹦
pause               - 顿
parsely               - 洋芫荾
pavilion               - 亭
valuable               - 贵
urine               - 尿液
urine               - 水泉
urine               - 溲
vertex               - 颠顶
Urine               - 溺水
urine odor              - 臊味
vanquished               - 败坏
variant               - 加减
vesicle               - 水-+
vacuity               - 虚弱
variation               - 加减
vesicle               - 水泡
variation               - 加减法
urticaria               - 荨麻疹
variation               - 化裁
vessel               - 脉
varied               - 化裁
variola               - 天花
veins               - 筋脉
uterus               - 女子胞
uterus               - 子宫
uterus               - 胞
uterus               - 胞宫
uterus               - 阴胞
vacuous               - 虚弱
uvea               - 葡萄膜
urinary calculus              - 尿石
uveitis               - 葡萄膜炎
venison               - 鹿肉
Urinary Bladder              - 尿胞
uvula               - 帝丁
uvula               - 帝钟
uvula               - 悬壅垂
uvula               - 悬雍
vagina               - 阴道
uvula               - 悬雍垂
vaginal discharge              - 带
vaginal discharge              - 带下
vermiculite               - 金精石
vermilion               - 银朱
vaginal discharge              - 白带
verruca vulgaris              - 寻常疣
urinary infection              - 泌尿系感染
verruca plana              - 扁平疣
vertebra               - 脊椎骨
vaginitis               - 阴道炎
upper arm              - 肱
upper eyelid              - 胞
Upper Arm              - 臂臑
eardrum               - 耳鼓
earlier               - 先
Eight Points              - 八点
eel               - 鳗
eel               - 鳗鱼
eat raw              - 生食
eel               - 鳗鲡
eel               - 鳗鲡鱼
eat               - 茹
eel               - 鳝
eat steamed              - 蒸食
eight principles              - 八纲
earlobe               - 耳垂
eelgrass               - 海带
effect               - 作用
elephantopus               - 苦地胆
effect               - 功效
effect               - 效果
eating habits              - 食性
elephantopus               - 草鞋底
dry               - 枯
earthworm               - 寒蚓
duckweed               - 田萍
each other              - 互
earthworm               - 曲蟺
each               - 各
earthworm               - 白颈蚯蚓
duckweed               - 萍
each other              - 相
duckweed               - 薸
earthworm               - 虫蟺
eagle               - 鹰
earthworm               - 蚯
earthworm               - 蚯蚓
earthworm               - 蜿蟺
earthworm               - 附蚓
ear lock              - 兑发
dryland               - 旱
earwax               - 耳垢
earwax               - 耳屎
earwax               - 耵
eclipta               - 墨菜
earwax               - 耵聍
eclipta               - 墨记菜
earwax               - 聍
east               - 东
dull pain              - 隐痛
eclipta               - 旱莲草
East Wind              - 东风
dull pain              - 隐隐作痛
bloody stool              - 大便出血
bloody stool              - 血便
blood vessel              - 血脉
boil               - 沸
boil               - 煨水
boil               - 熬
blow               - 吹气
boschniakia               - 草苁蓉
blind               - 瞎
blindness               - 视觉缺失
bladder disease              - 膀胱病
blink               - 眨
blink               - 瞬
blinking               - 目眨
blistering               - 发泡
blistering               - 提泡
blistering               - 起泡
bloating               - 饱胀
block               - 拦
blood               - 血液
blood circulation              - 血液循环
blood thirst              - 血渴
blood heat              - 血热
blood loss              - 出血
bleed               - 放血
bleeding               - 出血
bleeding wound              - 创伤出血
bleeding               - 流血
black eye              - 眼胞瘀痛
black tea              - 红茶
blemish               - 疵
blepharoptosis               - 睑下垂
blood loss              - 失血
bicuspids               - 二尖齿
black soy              - 豆黄
bladder               - 胞
black scraper              - 马面单棘鲀
bladder               - 膀胱
beneath               - 底
bite               - 咬
benefit               - 利
bite               - 啮
benevolence               - 仁
benevolent               - 惠
bitter orange              - 枳
benevolent               - 慈
black               - 乌
black sand              - 乌痧
black soybean              - 黑豆
black vinegar              - 黑醋
toad               - 虾
tonsillitis               - 扁桃腺炎
torreya               - 榧
trachea               - 气管
Tonsils               - 扁桃
Tonsils               - 扁桃体
trachoma               - 沙眼
toad               - 蛤
tonsils               - 扁桃腺
tool               - 具
toona               - 椿
toad               - 蟆
togther               - 共
toilette               - 更衣
thyroid gland              - 甲状腺
time               - 时
thyroid               - 靥
tomato               - 洋柿子
tomato               - 番柿
toothache               - 牙痛
tomato               - 西红柿
toothache               - 牙齿痛
toothache               - 齿痛
tin               - 锡
top grade              - 上品
tincture               - 酊
tincture               - 酊剂
tinea capitis              - 头癣
tinea               - 癣
tinea cruris              - 股癣
tinea pedis              - 足癣
YAL               - 阳维
wound               - 创
wound               - 创伤
wrap               - 裹
yellow wine              - 黄酒
yarrow               - 洋蓍草
YAS               - 阳跷
yawn               - 呵
yawn               - 呼欠
yawn               - 失欠
water spinach              - 空筒菜
volatile oils              - 挥发油
wandering               - 游走
wasabi               - 山葵
wash               - 冲洗
wash               - 洗
water chestnut              - 荸
vomiting and diarrhea             - 吐下
weighing scales              - 秤
pleural effusion              - 胸膜渗液
pleural cavity              - 胸膜腔
pile               - 痔疮
pharyngitis               - 咽炎
pelican               - 鹈
phellinus               - 桑黄
permanent teeth              - 恒齿
pellet               - 弹
perpendicular               - 直
red tongue              - 红舌
recurrent               - 反复发作
recurrent aphthae              - 复发性口疮
red nose              - 红鼻子
red sage              - 五色梅
red sage root             - 五色梅根
red tongue              - 舌质红
reach               - 及
reflect               - 候
reflection               - 意
tamarind               - 酸角
tamarisk               - 柽
taro               - 芋
swertia               - 獐牙菜
swertia               - 青叶丹
tabanus               - 牛苍蝇
swertia               - 青叶胆
tabanus               - 牛虻
tabanus               - 牛蚊子
tabanus               - 瞎虻虫
tangerine               - 橘
TB               - 三焦
worms               - 诸虫
worrying               - 弄
sweet pepper              - 青椒
sweet wormwood              - 青蒿
swill               - 飧
talcum               - 共石
tabanus               - 瞎蚂蜂
tabanus               - 虻
talcum               - 夕冷
tabanus               - 虻虫
talcum               - 夜石
tabanus               - 蜚虻
swimming crab              - 蝤蛑
swine               - 豕
taro [root]              - 蹲鸱
talcum               - 画石
tachycardia               - 心搏快速
talcum               - 留石
tachycardia               - 心搏过速
sweet wormwood              - 青蒿
swill               - 飧
talcum               - 共石
tabanus               - 瞎蚂蜂
tabanus               - 虻
talcum               - 夕冷
tabanus               - 虻虫
talcum               - 夜石
tabanus               - 蜚虻
swimming crab              - 蝤蛑
swine               - 豕
taro [root]              - 蹲鸱
talcum               - 画石
tachycardia               - 心搏快速
talcum               - 留石
tachycardia               - 心搏过速
talcum               - 番石
taciturn               - 沉默寡言
talcum               - 硬滑石
tarsal bones              - 跗骨
swollen throat              - 嗌肿
talcum               - 脆石
tartar               - 牙垢
talcum               - 脱石
tartar               - 牙石
talent               - 才
Tartar               - 鞑
talk               - 说
tail               - 尾
talking nonsense              - 说糊话
tall               - 乔
supplement               - 加
sword               - 铍
sympathetic nervous system             - 交感神经系统
symphysis               - 联合
SYMPTOM               - 泄气
symptom               - 症状
synapse               - 神经键
take               - 取
swelling               - 肿块
swelling               - 肿胀
take               - 把
tap               - 叩
syphilis               - 梅毒
swelter               - 熏蒸
syrup               - 糖水
syrup               - 糖浆
syrup               - 蜜浆
system               - 系统
supplement               - 补养
savory               - 剪刀草
schima [root bark]             - 木荷
saw               - 锯
say               - 曰
scratch               - 抓
salvia [root]              - 野苏子根
scratch               - 搔
salvinia               - 蜈蚣萍
scratch               - 搔抓
say               - 爰
scratch               - 搔痒
screen               - 屏
screen               - 屏翳
screen               - 阑
schisandra               - 菋
scab               - 痂
sand               - 痧子
scabies               - 疥疮
saffron               - 洎夫蓝
salamander               - 秉氏鲵
saposhnikovia               - 唐防风
saffron               - 番红花
saposhnikovia               - 屏风
saffron               - 藏红花
saposhnikovia               - 防风
saffron               - 西红花
salamander               - 羌活鱼
sag               - 垂
salience               - 微甚
saposhnikovia               - 风肉
sagacious               - 圣
salpingitis               - 输卵管炎
salsola               - 猪毛菜
salt               - 盐
scorpion               - 全虫
salt               - 细盐
scapula               - 肩胛
salt               - 食盐
scorpion               - 干蝎
scar               - 疤瘌
scorpion               - 蝎
scar               - 瘌
schistosomiasis               - 血吸虫病
scald               - 烫伤
scale               - 鳞
schizonepeta               - 荆芥
rouse               - 振
rorippa               - 塘葛菜
rorippa               - 江剪刀菜
rorippa               - 田葛菜
somnolence               - 嗜睡
spinach               - 鼠根菜
speckle               - 点
space               - 间
speech               - 言
spinal cord              - 脊髓
speech               - 话
speech               - 语言
spindle               - 缍
spell               - 阵
spine               - 冈
spermatorrhea               - 遗精
spermatozoon               - 精子
spit               - 吐
spit               - 唾
sphenomeris               - 乌韭
sphenomeris               - 大叶金花草
sphincter               - 括约肌
sphincter muscle              - 约束
soybean oil              - 豆油
soybean milk              - 豆浆
somnolence               - 多寐
sparrow               - 麻雀
somnolence               - 好眠
somnolence               - 好睡
son               - 子
song               - 歌
spasm               - 痉挛
soot               - 炱
spatula               - 锅铲
sour               - 馊
spearmint               - 香花菜
special               - 异
spinach               - 菠
spinach               - 菠斯菜
source point              - 原穴
special               - 殊
spinach               - 菠棱
source               - 源
special               - 特
spinach               - 菠棱菜
spinach               - 菠菜
soybean milk              - 豆腐浆
soleus muscle              - 比目鱼肌
snoring               - 打呼
sore throat              - 咽喉痛
soybean               - 黄豆
solid               - 板
snoring               - 打鼾
solidago               - 一枝黄花
sleeping pills              - 安眠剂
snake bite              - 蛇伤
sleeplessness               - 不寐
sleeplessness               - 不眠
sluggish               - 謇
sleeplessness               - 不睡
sleeplessness               - 无眠
sluggish               - 蹇
sleeve               - 袖
sluice               - 渎
snake venom              - 蛇毒
shy               - 羞
side               - 侧
sink               - 没
similar               - 类
simple               - 单
sinusitis               - 鼻窦炎
skin               - 肤
skin               - 胕
slop               - 溏
six               - 陆
skip               - 越
skirt               - 裙
smooth delivery              - 顺产
smallpox               - 天花
skull               - 头颅骨
shoulder blade              - 肩甲
silkworm               - 蚕虫
shoulder joint              - 肩解
shoulder blade              - 胛
slice               - 切
slice               - 切片
sixth               - 第六
sit               - 坐
sizing               - 修制
Sjogren's syndrome              - 干燥关节炎综合症
skeleton               - 骨骼
six ways              - 六合
skeleton               - 骸
skimmia               - 茵芋
shoot               - 芽
shore               - 濒
short               - 短
silk               - 丝
silk floss              - 丝绵
short               - 矮
single               - 单
shouting               - 呼
shrimp               - 对虾
silver               - 银
amenorrhea               - 闭经
American ginseng              - 佛兰参
anguish               - 懊
American ginseng              - 花旗参
allow               - 许
anguish               - 懊-+
American ginseng              - 西参
All-Round Construction              - 周营
American ginseng              - 西洋参
anxious               - 愁
aorta               - 主动脉
aortic valve              - 主动脉瓣
arborvitae               - 檗
ark               - 蚶
aplastic anemia              - 再生障碍性贫血
apluda               - 水蔗草
aponeurosis               - 腱膜
appendectomy               - 阑尾切除术
arm               - 手
appendicitis               - 阑尾炎
appendix               - 阑尾
arm               - 手臂
arm               - 膊
appetite               - 食欲
apple               - 天然子
arm               - 臂膊
apple               - 平波
apple               - 柰
apple               - 柰子
armillaria               - 松蕈
apple               - 苹
apple               - 苹果
all fractures              - 一切折伤
ancient               - 古
amaranth               - 白苋
amaranth               - 苋
and               - 而
amaranth               - 苋菜
andrographis               - 一见喜
amaranth               - 青香苋
andrographis               - 榄核莲
amber               - 兽魄
amber               - 珀
amber               - 琥
red               - 赪
relapse               - 复
relaxed               - 松
refute               - 驳
release               - 放
red face              - 面赤
see               - 视
seed               - 仁
seed               - 子
sea urchin              - 海胆
seedling               - 秧
seam               - 分
seek               - 求
serum               - 血清
seethe               - 沸
searching               - 寻
sea cucumber              - 海鼠
sesame oil              - 胡麻油
seasickness               - 晕船
selaginella               - 卷柏
season               - 时令
schizophrenia               - 精神分裂症
scallion               - 菜伯
sandal               - 檀
scallion               - 葱
sandalwood               - 檀香
scallion               - 葱仔
sandalwood               - 真檀
school               - 校
scrotum               - 肾囊
school of thought             - 派
sciatica               - 坐骨神经痛
scrotum               - 阴囊
scilla               - 绵枣儿
scirpus               - 荆三棱
scurry               - 流窜
scalp               - 头皮
scaly skin              - 肌若鱼鳞
scleroderma               - 硬皮病
scoparia               - 野甘草
scorch               - 烁
margin               - 际
meal               - 餐
mark               - 痕
market               - 市
mean               - 曰
mean               - 爰
measles               - 痧子
mania               - 狂易
mandarin               - 柑
measles               - 麻疹
medial malleolus              - 内踝
medial               - 正
mediastinum               - 纵隔
medical matters              - 医物
melon               - 银瓜
breakfast               - 早餐
borax               - 大朋砂
breakfast               - 早饭
borax               - 月石
borax               - 盆砂
borax               - 硼
bountiful               - 丰
borax               - 蓬砂
breast               - 乳房
borax               - 西月石
borax               - 鹏砂
border               - 际
bow               - 弓
borderland               - 蕃
breast milk              - 乳汁
bore               - 穿
bore               - 钻
borneol               - 冰片
blue               - 绀
blue               - 蓝
bolt               - 楗
blood block              - 血闭
bluebeard               - 兰香草
bluebeard               - 山薄荷
Bone Growth              - 成骨
blurred vision              - 目糊
blurred vision              - 目视-+
blurred vision              - 目视-+-+
blurred vision              - 目视-+-+无所见
blurred vision              - 目视模糊
blurred vision              - 视物-+-+
blurred vision              - 视物模糊
blurred vision              - 视物模糊不清
bone fracture              - 骨折
bloodletting               - 出血
boar               - 豭
bloodletting               - 放血
board               - 板
bone pain              - 骨痛
boat               - 舟
boat               - 舟楫
bone               - 骸
boat               - 船
bobbing               - 厥厥
blood stasis              - 血瘀
blood pressure              - 血压
blood vessels              - 血管
blood sugar              - 血糖
bloody stool              - 大便下血
bloody stool              - 大便出血
west               - 西
white cabbage              - 西土蓝
white face              - 面白
water spinach              - 藤藤菜
warm               - 暖
watermelon               - 夏瓜
watermelon               - 天生白虎汤
water trough              - 水沟
watermelon               - 寒瓜
watermelon               - 西瓜
save               - 济
save               - 省
savory               - 剪刀草
schima [root bark]             - 木荷
saw               - 锯
say               - 曰
scratch               - 抓
salvia [root]              - 野苏子根
scratch               - 搔
salvinia               - 蜈蚣萍
scratch               - 搔抓
say               - 爰
scratch               - 搔痒
screen               - 屏
screen               - 屏翳
screen               - 阑
schisandra               - 菋
scab               - 痂
sand               - 痧子
scabies               - 疥疮
saffron               - 洎夫蓝
salamander               - 秉氏鲵
saposhnikovia               - 唐防风
saffron               - 番红花
saposhnikovia               - 屏风
saffron               - 藏红花
saposhnikovia               - 防风
saffron               - 西红花
salamander               - 羌活鱼
sag               - 垂
salience               - 微甚
saposhnikovia               - 风肉
sagacious               - 圣
salpingitis               - 输卵管炎
salsola               - 猪毛菜
salt               - 盐
scorpion               - 全虫
salt               - 细盐
scapula               - 肩胛
salt               - 食盐
sensitive plant              - 含羞草
shark               - 鲛
section               - 段
section               - 节
sever               - 割
sensitive               - 敏
section               - 部
several               - 数
sexual intercourse              - 同房
sesame oil              - 麻油
selenite               - 太乙玄精石
selenite               - 太阴元精石
selenite               - 太阴玄精
selenite               - 太阴玄精石
setting sun              - 夕
selenite               - 玄精石
selenite               - 阴精石
self               - 己
seasonal               - 时行
self-sown               - 稆
sexual function              - 生殖机能
sexual desire              - 色欲
sexual intercourse              - 行房
seasonal influenza              - 时行感冒
sell               - 卖
shake               - 振
sell               - 沽
shake               - 摇
semen               - 精液
shake               - 震
shallot               - 冬葱
shallot               - 冻葱
shallot               - 分葱
shallot               - 回回葱
shallot               - 科葱
shallot               - 胡葱
secluded               - 幽
wrench               - 闪
wrenching               - 闪伤
Yellow Emperor              - 黄帝
you               - 尔
zinc oxide              - 氧化锌
zucchini               - 福禄瓜
young ginger              - 嫩姜
young               - 稚
younger sister              - 妹
zelkova               - 榉
youngia               - 黄鹌菜
zero               - 零
zestful               - 弈
macaque               - 猕
malaria               - 痎疟
magnet               - 磁
malaria               - 麻剌利亚
lupus erythematosus              - 红斑狼疮
Luster               - 光彩
lycopus               - 小泽兰
lycopus               - 泽兰
lycopus               - 泽兰叶
lycopus               - 草泽兰
luxuriant               - 苒
magpie               - 鹊
lygodium               - 左转藤
maiden               - 室女
male               - 男
lygodium               - 海金沙草
maidenhair               - 猪鬃草
male               - 男子
lung disease              - 肺病
lung cancer              - 肺癌
dilatation               - 扩张
dilated pupils              - 瞳神散大
difference               - 差
differentiate               - 鉴别
dilator               - 开大肌
dill               - 莳
dill               - 莳萝苗
discuss               - 论
discussion               - 话
disease               - 疾患
disease               - 疾病
dispersing               - 散法
distant               - 缅
distant               - 辽
dinner               - 晚餐
distant               - 远
dinner               - 晚饭
dispersion               - 消法
dinodon               - 赤链蛇
disease               - 痾
coconut milk              - 椰子浆
cocoon               - 茧
codium               - 水松
clouding               - 蒙蔽
clove               - 丁子
clove               - 丁子香
clove               - 丁香
dig               - 挖
directions               - 用法
diet therapy              - 食治
